"","Year","Month","GEO","Value"
"120",2001," Dec","Greater.Montreal"," 46.6%"
"121",2001," Jan","Greater.Quebec.City"," 41.1%"
"122",2001," Feb","Greater.Quebec.City"," 63.8%"
"123",2001," Mar","Greater.Quebec.City"," 56.2%"
"124",2001," Apr","Greater.Quebec.City"," 65.2%"
"125",2001," May","Greater.Quebec.City"," 67.9%"
"126",2001," Jun","Greater.Quebec.City"," 71.6%"
"127",2001," Jul","Greater.Quebec.City"," 75.6%"
"128",2001," Aug","Greater.Quebec.City"," 87%"
"129",2001," Sep","Greater.Quebec.City"," 71.9%"
"130",2001," Oct","Greater.Quebec.City"," 65.7%"
"131",2001," Nov","Greater.Quebec.City"," 49.9%"
"132",2001," Dec","Greater.Quebec.City"," 44.7%"
"133",2001," Jan","Greater.Toronto.Area"," 55.8%"
"134",2001," Feb","Greater.Toronto.Area"," 63.3%"
"135",2001," Mar","Greater.Toronto.Area"," 63.9%"
"136",2001," Apr","Greater.Toronto.Area"," 68.7%"
"137",2001," May","Greater.Toronto.Area"," 70.8%"
"138",2001," Jun","Greater.Toronto.Area"," 76.7%"
"139",2001," Jul","Greater.Toronto.Area"," 72.5%"
"140",2001," Aug","Greater.Toronto.Area"," 77.9%"
"141",2001," Sep","Greater.Toronto.Area"," 65.8%"
"142",2001," Oct","Greater.Toronto.Area"," 66.5%"
"143",2001," Nov","Greater.Toronto.Area"," 61.3%"
"144",2001," Dec","Greater.Toronto.Area"," 43.6%"
"145",2001," Jan","Greater.Vancouver"," 46%"
"146",2001," Feb","Greater.Vancouver"," 56.4%"
"147",2001," Mar","Greater.Vancouver"," 67.1%"
"148",2001," Apr","Greater.Vancouver"," 62.9%"
"149",2001," May","Greater.Vancouver"," 69.1%"
"150",2001," Jun","Greater.Vancouver"," 74.3%"
"151",2001," Jul","Greater.Vancouver"," 79.1%"
"152",2001," Aug","Greater.Vancouver"," 84.6%"
"153",2001," Sep","Greater.Vancouver"," 69.6%"
"154",2001," Oct","Greater.Vancouver"," 55.2%"
"155",2001," Nov","Greater.Vancouver"," 51.3%"
"156",2001," Dec","Greater.Vancouver"," 42.6%"
"157",2001," Jan","GTA.East.North"," 49.5%"
"158",2001," Feb","GTA.East.North"," 57.4%"
"159",2001," Mar","GTA.East.North"," 57.5%"
"160",2001," Apr","GTA.East.North"," 62.9%"
"161",2001," May","GTA.East.North"," 69.1%"
"162",2001," Jun","GTA.East.North"," 73.3%"
"163",2001," Jul","GTA.East.North"," 72.2%"
"164",2001," Aug","GTA.East.North"," 79.1%"
"165",2001," Sep","GTA.East.North"," 64.2%"
"166",2001," Oct","GTA.East.North"," 61.2%"
"167",2001," Nov","GTA.East.North"," 56.3%"
"168",2001," Dec","GTA.East.North"," 44%"
"169",2001," Jan","GTA.West"," 60.3%"
"170",2001," Feb","GTA.West"," 63.5%"
"171",2001," Mar","GTA.West"," 62.4%"
"172",2001," Apr","GTA.West"," 67%"
"173",2001," May","GTA.West"," 68.5%"
"174",2001," Jun","GTA.West"," 73.6%"
"175",2001," Jul","GTA.West"," 72.3%"
"176",2001," Aug","GTA.West"," 78.2%"
"177",2001," Sep","GTA.West"," 66.1%"
"178",2001," Oct","GTA.West"," 63.8%"
"179",2001," Nov","GTA.West"," 57.4%"
"180",2001," Dec","GTA.West"," 45.6%"
"181",2001," Jan","Halifax.Dartmouth"," 50.9%"
"182",2001," Feb","Halifax.Dartmouth"," 63.8%"
"183",2001," Mar","Halifax.Dartmouth"," 70.7%"
"184",2001," Apr","Halifax.Dartmouth"," 67.8%"
"185",2001," May","Halifax.Dartmouth"," 77.3%"
"186",2001," Jun","Halifax.Dartmouth"," 88.2%"
"187",2001," Jul","Halifax.Dartmouth"," 87.4%"
"188",2001," Aug","Halifax.Dartmouth"," 92.3%"
"189",2001," Sep","Halifax.Dartmouth"," 87.3%"
"190",2001," Oct","Halifax.Dartmouth"," 80.5%"
"191",2001," Nov","Halifax.Dartmouth"," 68.4%"
"192",2001," Dec","Halifax.Dartmouth"," 41.1%"
"193",2001," Jan","Hamilton...Brantford"," 44.6%"
"194",2001," Feb","Hamilton...Brantford"," 48.2%"
"195",2001," Mar","Hamilton...Brantford"," 53.3%"
"196",2001," Apr","Hamilton...Brantford"," 57.1%"
"197",2001," May","Hamilton...Brantford"," 57.8%"
"198",2001," Jun","Hamilton...Brantford"," 68.4%"
"199",2001," Jul","Hamilton...Brantford"," 63.1%"
"200",2001," Aug","Hamilton...Brantford"," 67.9%"
"201",2001," Sep","Hamilton...Brantford"," 69.8%"
"202",2001," Oct","Hamilton...Brantford"," 65.6%"
"203",2001," Nov","Hamilton...Brantford"," 51.6%"
"204",2001," Dec","Hamilton...Brantford"," 46.3%"
"205",2001," Jan","Kingston"," 43.3%"
"206",2001," Feb","Kingston"," 52.2%"
"207",2001," Mar","Kingston"," 57.9%"
"208",2001," Apr","Kingston"," 56.2%"
"209",2001," May","Kingston"," 67%"
"210",2001," Jun","Kingston"," 75.2%"
"211",2001," Jul","Kingston"," 77.5%"
"212",2001," Aug","Kingston"," 82.9%"
"213",2001," Sep","Kingston"," 74.1%"
"214",2001," Oct","Kingston"," 63.9%"
"215",2001," Nov","Kingston"," 49.9%"
"216",2001," Dec","Kingston"," 37.5%"
"217",2001," Jan","Kitchener...Waterloo...Cambridge...Guelph"," 56.4%"
"218",2001," Feb","Kitchener...Waterloo...Cambridge...Guelph"," 59.8%"
"219",2001," Mar","Kitchener...Waterloo...Cambridge...Guelph"," 65.2%"
"220",2001," Apr","Kitchener...Waterloo...Cambridge...Guelph"," 61.3%"
"221",2001," May","Kitchener...Waterloo...Cambridge...Guelph"," 61.7%"
"222",2001," Jun","Kitchener...Waterloo...Cambridge...Guelph"," 71.7%"
"223",2001," Jul","Kitchener...Waterloo...Cambridge...Guelph"," 68.2%"
"224",2001," Aug","Kitchener...Waterloo...Cambridge...Guelph"," 73.9%"
"225",2001," Sep","Kitchener...Waterloo...Cambridge...Guelph"," 5.3%"
"226",2001," Oct","Kitchener...Waterloo...Cambridge...Guelph"," 7.5%"
"227",2001," Nov","Kitchener...Waterloo...Cambridge...Guelph"," -1.5%"
"228",2001," Dec","Kitchener...Waterloo...Cambridge...Guelph"," 50.4%"
"229",2001," Jan","London"," 48.6%"
"230",2001," Feb","London"," 55.4%"
"231",2001," Mar","London"," 55.6%"
"232",2001," Apr","London"," 57.7%"
"233",2001," May","London"," 60.3%"
"234",2001," Jun","London"," 66.6%"
"235",2001," Jul","London"," 55.5%"
"236",2001," Aug","London"," 68.2%"
"237",2001," Sep","London"," 65.1%"
"238",2001," Oct","London"," 59.5%"
"239",2001," Nov","London"," 61%"
"240",2001," Dec","London"," 41.7%"
"241",2001," Jan","Moncton"," 38.8%"
"242",2001," Feb","Moncton"," 50%"
"243",2001," Mar","Moncton"," 66%"
"244",2001," Apr","Moncton"," 56.3%"
"245",2001," May","Moncton"," 53.5%"
"246",2001," Jun","Moncton"," 62.4%"
"247",2001," Jul","Moncton"," 77%"
"248",2001," Aug","Moncton"," 78.1%"
"249",2001," Sep","Moncton"," 67.4%"
"250",2001," Oct","Moncton"," 56.3%"
"251",2001," Nov","Moncton"," 60.6%"
"252",2001," Dec","Moncton"," 35%"
"253",2001," Jan","Montreal.Airport.Laval"," 58.7%"
"254",2001," Feb","Montreal.Airport.Laval"," 69.5%"
"255",2001," Mar","Montreal.Airport.Laval"," 68.5%"
"256",2001," Apr","Montreal.Airport.Laval"," 71.2%"
"257",2001," May","Montreal.Airport.Laval"," 78.5%"
"258",2001," Jun","Montreal.Airport.Laval"," 85%"
"259",2001," Jul","Montreal.Airport.Laval"," 76.1%"
"260",2001," Aug","Montreal.Airport.Laval"," 86%"
"261",2001," Sep","Montreal.Airport.Laval"," 81.2%"
"262",2001," Oct","Montreal.Airport.Laval"," 72.2%"
"263",2001," Nov","Montreal.Airport.Laval"," 61.1%"
"264",2001," Dec","Montreal.Airport.Laval"," 51.7%"
"265",2001," Jan","Niagara.Falls"," 25%"
"266",2001," Feb","Niagara.Falls"," 34.4%"
"267",2001," Mar","Niagara.Falls"," 43.2%"
"268",2001," Apr","Niagara.Falls"," 48.7%"
"269",2001," May","Niagara.Falls"," 61.4%"
"270",2001," Jun","Niagara.Falls"," 76.6%"
"271",2001," Jul","Niagara.Falls"," 88.8%"
"272",2001," Aug","Niagara.Falls"," 91.6%"
"273",2001," Sep","Niagara.Falls"," 64%"
"274",2001," Oct","Niagara.Falls"," 55.9%"
"275",2001," Nov","Niagara.Falls"," 38.3%"
"276",2001," Dec","Niagara.Falls"," 28.8%"
"277",2001," Jan","North.Bay"," 45.5%"
"278",2001," Feb","North.Bay"," 57.1%"
"279",2001," Mar","North.Bay"," 61.7%"
"280",2001," Apr","North.Bay"," 54.9%"
"281",2001," May","North.Bay"," 53.9%"
"282",2001," Jun","North.Bay"," 71.7%"
"283",2001," Jul","North.Bay"," 69.4%"
"284",2001," Aug","North.Bay"," 80.5%"
"285",2001," Sep","North.Bay"," 71.9%"
"286",2001," Oct","North.Bay"," 63.4%"
"287",2001," Nov","North.Bay"," 48.6%"
"288",2001," Dec","North.Bay"," 36.5%"
"289",2001," Jan","North.Central.Ontario"," 0%"
"290",2001," Feb","North.Central.Ontario"," 0%"
"291",2001," Mar","North.Central.Ontario"," 0%"
"292",2001," Apr","North.Central.Ontario"," 0%"
"293",2001," May","North.Central.Ontario"," 0%"
"294",2001," Jun","North.Central.Ontario"," 0%"
