Year, Month, Canada, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland, 
2001, Jan,$51.22,$52.03,$46.68,$31.74,$40.28,$55.14,$53.76,$37.90,$40.21, 
2001, Feb,$63.12,$64.87,$50.56,$38.86,$49.56,$67.14,$69.10,$45.64,$51.38, 
2001, Mar,$66.51,$75.01,$54.23,$45.44,$57.55,$66.89,$67.85,$49.18,$53.69, 
2001, Apr,$63.98,$63,$52.12,$41.83,$56.53,$70.78,$66.99,$45.26,$49.77, 
2001, May,$74.06,$71.72,$54.95,$48.81,$73.58,$80.16,$85.29,$47.50,$65.77, 
2001, Jun,$89.40,$86.80,$63.85,$58.25,$92.12,$92.12,$114.26,$49.99,$82.88, 
2001, Jul,$93.55,$102.27,$57.32,$75.32,$96.31,$88.92,$105.55,$45.03,$74.82, 
2001, Aug,$99.63,$108.13,$53.44,$75.39,$100.64,$96.64,$114.37,$52.58,$73.97, 
2001, Sep,$78.26,$76.65,$54.40,$63.20,$94.19,$80.38,$91.89,$43.18,$71.96, 
2001, Oct,$67.49,$51.34,$56.44,$49.48,$81.64,$77.58,$83.03,$48.37,$60.33, 
2001, Nov,$56.36,$41.92,$56.25,$43.88,$58.33,$63.78,$64.82,$53.54,$55.57, 
2001, Dec,$44.51,$46.21,$36.84,$26.89,$33.84,$44.64,$52.34,$35.85,$35.44, 
2002, Jan,$48.74,$49.01,$39.60,$31.50,$37,$51.38,$53.21,$39.19,$41.47, 
2002, Feb,$61.57,$65.14,$54.87,$42.80,$48.59,$62.44,$69.23,$45.56,$48.77, 
2002, Mar,$62.72,$71.16,$53.76,$41.83,$56.53,$70.78,$66.99,$48.56,$49.77, 
2002, Apr,$65.29,$62.15,$56.82,$45.86,$58.47,$70.68,$69.43,$47.70,$59.77, 
2002, May,$72.91,$71.23,$61.04,$52.94,$79.62,$74.12,$90.23,$48.52,$67.92, 
2002, Jun,$90.12,$89.01,$65.29,$62.68,$93.35,$87.66,$121.65,$54.03,$79.62, 
2002, Jul,$94.18,$101.80,$56.63,$86.16,$100.69,$89.33,$109.56,$47.64,$82.78, 
2002, Aug,$99.35,$110.35,$58.41,$89.29,$110.59,$92.70,$122.31,$55.46,$85.05, 
2002, Sep,$86.27,$82.96,$57.32,$66.03,$102.96,$88.98,$101.79,$51.56,$79.02, 
2002, Oct,$72.94,$57.95,$54.33,$53.15,$81.37,$80.31,$97.57,$52.95,$70.32, 
2002, Nov,$59.47,$43.25,$53.05,$45.28,$59.02,$68.94,$65.84,$53.51,$57.47, 
2002, Dec,$45.95,$49.87,$37.07,$27.25,$36.14,$45.67,$54.64,$33.18,$34.52, 
2003, Jan,$50.39,$50.72,$37.93,$32.40,$40.45,$53.94,$56.74,$42.91,$36.99, 
2003, Feb,$62.33,$64.53,$46.88,$44.01,$50.28,$63.26,$72.83,$48.74,$54.15, 
2003, Mar,$61.19,$63.68,$48.58,$49.89,$62.61,$60.92,$66.20,$49.83,$50.28, 
2003, Apr,$55.57,$56.88,$54.64,$46.51,$57.83,$53.04,$63.99,$45.33,$52.21, 
2003, May,$62.56,$67.18,$55.34,$47.73,$78.47,$56.44,$80.66,$49.72,$69.13, 
2003, Jun,$75.07,$74.71,$62.29,$61.69,$93.19,$64.36,$113.95,$54.18,$84.16, 
2003, Jul,$79.81,$91.40,$58.42,$79.54,$98.82,$67.37,$92.02,$46.60,$84.32, 
2003, Aug,$87.86,$103.74,$56.77,$85.48,$109.50,$77.29,$104.17,$54.19,$86.41, 
2003, Sep,$80.12,$80.20,$52.55,$67.65,$100.41,$79.41,$97.02,$51.28,$87.22, 
2003, Oct,$71.19,$57.32,$54.76,$54.85,$88.84,$77.05,$94.49,$53.12,$79.33, 
2003, Nov,$58.94,$44.29,$51.12,$46.87,$64.27,$66.81,$66.19,$60.77,$62.24, 
2003, Dec,$46.80,$49.59,$36.94,$28.98,$36.21,$47.18,$53.32,$35.61,$42.26, 
2004, Jan,$49.95,$51.21,$39.74,$32.47,$38.31,$52.28,$55.12,$42.63,$41.85, 
2004, Feb,$61.01,$64.27,$48.73,$43,$52.74,$61.26,$66.86,$48.95,$57.32, 
2004, Mar,$63.76,$67.97,$55.45,$51.58,$61.44,$61.53,$69.22,$58.79,$54.72, 
2004, Apr,$63.44,$64.65,$51.69,$49.09,$62.01,$65.91,$67.15,$49.74,$50.35, 
2004, May,$73.12,$74.57,$61.33,$55.84,$74.75,$72.89,$89.85,$51.43,$65.19, 
2004, Jun,$84.48,$86.66,$66.31,$62.64,$87.34,$80.37,$108.98,$55.68,$94.65, 
2004, Jul,$92.56,$102.83,$60.75,$80.47,$104.87,$85.57,$104.48,$50.27,$82.90, 
2004, Aug,$93.33,$104.17,$55.57,$83.02,$107.81,$88.55,$109.95,$50.43,$83.40, 
2004, Sep,$89.64,$89.23,$55.62,$69.28,$106.77,$91.87,$107.76,$52.71,$82.97, 
2004, Oct,$74.42,$59.85,$58.38,$58.21,$84.72,$81.20,$96.49,$55.44,$67.44, 
2004, Nov,$63.06,$46.70,$57.14,$50.77,$60.86,$71.91,$71.80,$59.06,$61.07, 
2004, Dec,$49.76,$54.46,$40.56,$31.17,$38.20,$48.17,$56.11,$37.12,$36.69, 
2005, Jan,$50.29,$48.37,$41.81,$35.15,$40.23,$52.92,$55.31,$45.18,$38.48, 
2005, Feb,$63.68,$61.64,$51.82,$45.24,$53,$65.34,$72.36,$50.48,$61.18, 
2005, Mar,$62.75,$64.90,$53.13,$50.35,$55.70,$61.06,$65.55,$54.30,$58.17, 
2005, Apr,$68.18,$65.49,$57.24,$50.99,$64.94,$71.44,$76.70,$57.79,$62.25, 
2005, May,$74.56,$78.26,$53.11,$57.03,$81.58,$74.65,$82.27,$61.50,$75.25, 
2005, Jun,$91.44,$91.54,$61.19,$65.54,$90.22,$89.32,$114.94,$62.86,$100.94, 
2005, Jul,$98.13,$106.07,$59.45,$81.85,$97.46,$92.01,$112.31,$57.96,$92.05, 
2005, Aug,$96.82,$111.94,$55.94,$81.22,$100.99,$90.46,$109.21,$65.83,$81.29, 
2005, Sep,$95.84,$98.49,$58.51,$70.20,$103.99,$97.83,$109.13,$60.17,$75.90, 
2005, Oct,$78.17,$64.86,$62.35,$56.87,$88.59,$83.19,$98.27,$63.73,$70.35, 
2005, Nov,$68.28,$57.39,$55.56,$51.71,$63.56,$74.04,$74.88,$66.34,$56.52, 
2005, Dec,$52.89,$56.48,$42.24,$32.43,$48.12,$51.38,$60.43,$43.64,$35.49, 
2006, Jan,$54.79,$56.25,$44.25,$37.42,$42.02,$57.04,$54.92,$52.31,$39.78, 
2006, Feb,$68.96,$65.10,$56.97,$48.68,$52.94,$70.98,$75.03,$60.01,$48.60, 
2006, Mar,$70.59,$76.02,$59.15,$55.55,$62.50,$68.12,$69.48,$69.27,$51.29, 
2006, Apr,$69.85,$74.23,$54.49,$50.88,$62.53,$71.89,$71.84,$59.35,$50.36, 
2006, May,$88.01,$91.65,$64.02,$65.43,$81.20,$88.43,$103.27,$62.26,$70.99, 
2006, Jun,$96.88,$105.99,$66.24,$68.02,$93.73,$88.41,$119.50,$69.98,$93.63, 
2006, Jul,$97.61,$117.33,$58.57,$81.21,$93.97,$85.77,$102.53,$60.24,$96.87, 
2006, Aug,$103.82,$120.67,$64.51,$92.08,$103.14,$98.23,$108.37,$63.82,$106.12, 
2006, Sep,$100.68,$101.81,$69.94,$78.35,$110.66,$101.55,$106.92,$69.87,$86.72, 
2006, Oct,$82.05,$72.64,$66.91,$61.09,$85.47,$86.10,$93.25,$70.74,$72.09, 
2006, Nov,$71.95,$57.91,$76.45,$59.91,$68.89,$75.60,$76.11,$72.09,$59.26, 
2006, Dec,$55.24,$58.58,$47.92,$38.37,$41.59,$52.21,$59.11,$47.82,$37.71, 
2007, Jan,$57.75,$59.94,$48.51,$40.41,$47.30,$56.79,$54.83,$55.79,$41.91, 
2007, Feb,$71.87,$72.89,$61.54,$53.76,$58.14,$68.94,$75.54,$65.38,$51.96, 
2007, Mar,$75.11,$79.28,$65.88,$51.15,$57.50,$65.81,$67.08,$71.62,$49.42, 
2007, Apr,$71.02,$74.09,$59.69,$55.36,$65.63,$69.26,$70.94,$65.83,$60.87, 
2007, May,$86.94,$92.74,$68.98,$65.99,$79.91,$83.42,$92.85,$77.75,$82.22, 
2007, Jun,$99.97,$105.42,$74.96,$74.56,$96.26,$94.20,$112.83,$79.26,$96.96, 
2007, Jul,$99.96,$117.90,$62.68,$86.49,$104.52,$86.76,$101.81,$72.36,$98.43, 
2007, Aug,$104.14,$124.80,$67.82,$94.45,$102.05,$93.95,$107.58,$75.62,$104.83, 
2007, Sep,$102.29,$107.44,$68.58,$78.04,$111.65,$99.84,$106.78,$78.75,$101.37, 
2007, Oct,$86.45,$77.86,$72.99,$65.71,$90.58,$87.48,$94.01,$78.15,$88.14, 
2007, Nov,$74.70,$61.45,$69.72,$55.71,$66.77,$78.40,$72.48,$80.49,$73.86, 
2007, Dec,$57.81,$62.69,$52.08,$64.23,$77.84,$78.96,$84.80,$56.18,$74.47, 
2008, Jan,$61.31,$64.77,$56.48,$43.28,$46.31,$59.24,$57.37,$62.14,$45.68, 
2008, Feb,$74.66,$79.77,$68.09,$58.13,$57.12,$70.04,$77.60,$74.94,$56.28, 
2008, Mar,$73.36,$81.38,$71.76,$56.82,$62.05,$66.61,$69.50,$76.36,$55.62, 
2008, Apr,$77.89,$79.18,$69.84,$62.61,$71.92,$74.64,$75.03,$76.81,$67.88, 
2008, May,$89.70,$97.06,$69.87,$66.97,$91.11,$86.52,$87.72,$81.64,$92.64, 
2008, Jun,$101.67,$111.69,$79.41,$76.36,$96.17,$92.20,$110.85,$85.76,$102.90, 
2008, Jul,$98.07,$117.34,$70.18,$82.31,$92.86,$84.73,$98.13,$77.84,$96.80, 
2008, Aug,$105.79,$124.18,$75.21,$94.11,$106.87,$94.17,$114.74,$83.08,$107.57, 
2008, Sep,$100.93,$101.72,$82.27,$73.40,$103.25,$97.08,$106.86,$88.34,$107.71, 
2008, Oct,$86.06,$75.04,$77.41,$65.19,$82.11,$85.07,$96.44,$90.73,$97.17, 
2008, Nov,$72.61,$58.76,$78.24,$55.52,$60.87,$73.08,$71.63,$90.80,$71.54, 
2008, Dec,$55.38,$56.83,$52.32,$36.40,$41.56,$51.26,$57.85,$62.20,$44.82, 
2009, Jan,$57.38,$58.23,$53.39,$38.70,$40.74,$54.57,$56.59,$70.66,$48.65, 
2009, Feb,$68.92,$72.62,$64.61,$51.46,$54.08,$62.72,$72.58,$77.75,$58.99, 
2009, Mar,$66.96,$71.30,$67.64,$53.43,$60.49,$61.32,$62.77,$82.73,$64.37, 
2009, Apr,$66.06,$67.61,$70.82,$58.17,$62.53,$62.97,$63.33,$78.38,$64.77, 
2009, May,$74.08,$79.86,$70.31,$58.01,$74.22,$70.16,$73.66,$78.60,$86.90, 
2009, Jun,$81.60,$88.26,$78.55,$68.23,$84.91,$75.69,$82.28,$86.38,$108.98, 
2009, Jul,$85.66,$98.92,$70.51,$82.89,$96.75,$73.54,$89.13,$84.77,$99.03, 
2009, Aug,$92.07,$109.79,$73.80,$88.55,$96.66,$81.98,$97.26,$86.30,$108.52, 
